time, temp
1583922118013929100, 50.8
1583922235054178800, 50
1583922363169588000, 49.3
1583922470264576400, 48.7
1583922615653264900, 48
1583922712301738900, 47.5
1583922853330649400, 46.7
1583922993381813300, 45.9
1583923222229754000, 44.8
1583923436052638300, 43.8
1583923723295178400, 42.6
1583923921279428800, 41.8
1583924084247891500, 41.1
1583924483180978300, 39.7
1583924620238932000, 39.2
1583924752666017500, 38.8
